;Working_Year;Designation;Experience;Employment_Status;Salary_In_Rupees;Employee_Location;Company_Location;Company_Size;Remote_Working_Ratio;Salary_In_Rupees
1;2020;Data Scientist;MI;FT;5MM A 10MM;DE;DE;L;0;6352272
2;2020;Machine Learning Scientist;SE;FT;20MM A 26MM;JP;JP;S;0;20688070
3;2020;Big Data Engineer;SE;FT;5MM A 10MM;GB;GB;M;50;8674985
4;2020;Product Data Analyst;MI;FT;1MM A 5MM;HN;HN;S;0;1591390
5;2020;Machine Learning Engineer;SE;FT;10MM A 15MM;US;US;L;50;11935425
6;2020;Data Analyst;EN;FT;5MM A 10MM;US;US;L;100;5729004
7;2020;Lead Data Scientist;SE;FT;15MM A 20MM;US;US;S;100;15118205
8;2020;Data Scientist;MI;FT;1MM A 5MM;HU;HU;L;50;2843416
9;2020;Business Data Analyst;MI;FT;10MM A 15MM;US;US;L;100;10741883
10;2020;Lead Data Engineer;SE;FT;5MM A 10MM;NZ;NZ;S;50;9946188
11;2020;Data Scientist;EN;FT;1MM A 5MM;FR;FR;S;0;4083586
12;2020;Data Scientist;MI;FT;1MM A 5MM;IN;IN;L;0;3221053
13;2020;Data Scientist;EN;FT;1MM A 5MM;FR;FR;M;0;3176096
14;2020;Lead Data Analyst;MI;FT;5MM A 10MM;US;US;L;100;6922547
15;2020;Data Analyst;MI;FT;5MM A 10MM;US;US;L;100;6763408
16;2020;Data Analyst;MI;FT;1MM A 5MM;PK;PK;L;50;636556
17;2020;Data Engineer;EN;FT;1MM A 5MM;JP;JP;S;100;3317173
18;2020;Big Data Engineer;SE;FT;5MM A 10MM;PL;GB;S;100;9074663
19;2020;Data Science Consultant;EN;FT;1MM A 5MM;IN;IN;M;50;454103
20;2020;Lead Data Engineer;MI;FT;1MM A 5MM;PT;US;M;100;4455892
21;2020;Machine Learning Engineer;MI;FT;1MM A 5MM;CN;CN;M;0;3447826
22;2020;Product Data Analyst;MI;FT;1MM A 5MM;IN;IN;L;100;483146
23;2020;Data Engineer;SE;FT;1MM A 5MM;GR;GR;L;50;3811299
24;2020;BI Data Analyst;MI;FT;5MM A 10MM;US;US;M;0;7797811
25;2020;Lead Data Scientist;MI;FT;5MM A 10MM;AE;AE;L;0;9150493
26;2020;Director of Data Science;EX;FT;20MM A 26MM;US;US;L;100;25860088
27;2020;Research Scientist;EN;FT;1MM A 5MM;NL;NL;L;50;3341919
28;2020;Data Engineer;SE;FT;1MM A 5MM;MX;MX;S;0;2666454
29;2020;Business Data Analyst;EN;CT;5MM A 10MM;US;US;L;100;7956950
30;2020;Machine Learning Manager;SE;FT;5MM A 10MM;CA;CA;L;50;9317907
31;2020;Data Engineering Manager;MI;FT;1MM A 5MM;DE;DE;S;100;4718710
32;2020;Big Data Engineer;EN;FT;5MM A 10MM;US;US;L;100;5569865
33;2020;Data Scientist;SE;FT;5MM A 10MM;GR;US;L;100;5444782
34;2020;Research Scientist;MI;FT;ACIMA DE 26MM;US;US;M;0;35806275
35;2020;Data Analyst;MI;FT;1MM A 5MM;FR;FR;L;50;3720590
36;2020;Data Engineer;MI;FT;5MM A 10MM;AT;AT;L;50;5898487
37;2020;Data Science Consultant;MI;FT;5MM A 10MM;US;US;L;100;8195659
38;2020;Machine Learning Engineer;EN;FT;15MM A 20MM;US;US;L;50;19892375
39;2020;Data Analyst;EN;FT;1MM A 5MM;NG;NG;S;100;795695
40;2020;Machine Learning Engineer;EN;FT;10MM A 15MM;US;US;S;100;10980591
41;2020;Data Scientist;MI;FT;1MM A 5MM;PH;US;S;100;3641100
42;2020;Data Engineering Manager;EX;FT;5MM A 10MM;ES;ES;L;50;6352272
43;2020;Machine Learning Infrastructure Engineer;MI;FT;1MM A 5MM;PT;PT;M;0;3992798
44;2020;Data Engineer;MI;FT;5MM A 10MM;US;US;L;100;8434367
45;2020;Data Engineer;MI;FT;5MM A 10MM;GB;GB;L;50;8981169
46;2020;ML Engineer;EN;PT;1MM A 5MM;DE;DE;S;100;1270407
47;2020;Data Scientist;MI;FT;5MM A 10MM;GB;GB;S;100;6123510
48;2020;Data Engineer;SE;FT;10MM A 15MM;US;US;L;100;14959066
49;2020;Data Scientist;MI;FT;5MM A 10MM;US;US;L;100;8354798
50;2020;Data Engineer;MI;FT;5MM A 10MM;FR;FR;L;50;5580925
51;2020;Data Analyst;EN;FT;1MM A 5MM;IN;IN;S;0;483146
52;2020;Data Analyst;EN;FT;5MM A 10MM;US;US;L;100;7240825
53;2020;AI Scientist;EN;FT;1MM A 5MM;DK;DK;S;50;3651922
54;2020;Data Engineer;EN;FT;1MM A 5MM;PK;DE;L;100;4355794
55;2020;Computer Vision Engineer;SE;FL;1MM A 5MM;RU;US;S;100;4774170
56;2020;Principal Data Scientist;SE;FT;10MM A 15MM;DE;DE;M;100;11797054
57;2020;Data Scientist;MI;FT;1MM A 5MM;ES;ES;M;100;3085387
58;2020;Data Scientist;MI;FT;5MM A 10MM;US;US;M;100;9389201
59;2020;Data Scientist;SE;FT;5MM A 10MM;US;US;L;50;9548340
60;2020;Data Scientist;MI;FT;10MM A 15MM;US;US;M;100;11008440
61;2020;Data Engineer;MI;FT;5MM A 10MM;US;US;L;100;8752645
62;2020;Data Engineer;MI;FT;10MM A 15MM;ES;US;M;100;10407691
63;2020;Data Scientist;EN;PT;1MM A 5MM;IT;IT;S;50;1724191
64;2020;Data Scientist;SE;FT;ACIMA DE 26MM;US;US;L;100;32782634
65;2020;Machine Learning Engineer;SE;FT;1MM A 5MM;HR;HR;S;100;3629801
66;2020;Data Scientist;EN;FT;1MM A 5MM;DE;DE;S;50;4991076
67;2020;Data Scientist;EN;FT;1MM A 5MM;DE;DE;S;0;3920230
68;2020;Data Science Manager;SE;FT;15MM A 20MM;US;US;M;100;15134119
69;2020;Data Scientist;EN;FT;5MM A 10MM;US;US;S;100;8354798
70;2020;Data Scientist;SE;FT;5MM A 10MM;AT;AT;S;0;7259682
71;2020;Data Scientist;MI;FT;1MM A 5MM;FR;LU;S;50;4991076
72;2020;Data Scientist;MI;FT;1MM A 5MM;FR;FR;S;50;3357594
73;2021;Research Scientist;EN;FT;5MM A 10MM;GB;GB;L;50;6566712
74;2021;BI Data Analyst;EX;FT;10MM A 15MM;IN;US;L;100;11935425
75;2021;Head of Data;EX;FT;15MM A 20MM;US;US;L;100;18698833
76;2021;Data Scientist;SE;FT;1MM A 5MM;FR;FR;L;50;4232461
77;2021;BI Data Analyst;MI;FT;5MM A 10MM;US;US;M;100;7956950
78;2021;3D Computer Vision Researcher;MI;PT;1MM A 5MM;IN;IN;M;50;430391
79;2021;ML Engineer;MI;CT;20MM A 26MM;US;US;L;100;21483765
80;2021;Data Analyst;EN;FT;5MM A 10MM;US;US;M;100;6365560
81;2021;Data Analytics Engineer;SE;FT;5MM A 10MM;DE;DE;L;100;6301666
82;2021;Data Engineer;MI;FT;10MM A 15MM;US;US;L;100;11139730
83;2021;Applied Data Scientist;MI;FT;1MM A 5MM;GB;CA;L;50;4315691
84;2021;Machine Learning Engineer;MI;FT;1MM A 5MM;ES;ES;S;100;3762205
85;2021;Director of Data Science;EX;FT;10MM A 15MM;IT;PL;L;100;12227206
86;2021;Data Engineer;MI;FT;1MM A 5MM;PL;PL;L;100;2265821
87;2021;Data Analyst;EN;FT;1MM A 5MM;FR;FR;M;50;4702717
88;2021;Data Analytics Engineer;MI;FT;5MM A 10MM;US;US;L;100;8752645
89;2021;Lead Data Analyst;SE;FT;10MM A 15MM;US;US;L;100;13526815
90;2021;Data Analyst;SE;FT;5MM A 10MM;BG;US;S;100;6365560
91;2021;Marketing Data Analyst;SE;FT;5MM A 10MM;GR;DK;L;100;7054154
92;2021;Data Science Consultant;EN;FT;5MM A 10MM;DE;DE;S;100;6113563
93;2021;Lead Data Analyst;MI;FT;1MM A 5MM;IN;IN;L;100;1560278
94;2021;Lead Data Engineer;SE;FT;20MM A 26MM;US;US;L;0;21961182
95;2021;Data Scientist;EN;FT;1MM A 5MM;IN;IN;L;50;2367272
96;2021;Cloud Data Engineer;MI;FT;5MM A 10MM;SG;SG;L;50;7105079
97;2021;AI Scientist;EN;PT;1MM A 5MM;BR;US;S;100;954834
98;2021;Financial Data Analyst;MI;FT;ACIMA DE 26MM;US;US;L;100;35806275
99;2021;Computer Vision Software Engineer;EN;FT;5MM A 10MM;US;US;M;100;5569865
100;2021;Computer Vision Software Engineer;MI;FT;5MM A 10MM;DE;US;S;100;7618461
101;2021;Data Analyst;MI;FT;5MM A 10MM;US;US;L;0;5967713
102;2021;Data Engineer;SE;FT;10MM A 15MM;US;US;L;100;11935425
103;2021;BI Data Analyst;MI;FT;1MM A 5MM;HU;US;L;50;2885111
104;2021;Data Analyst;MI;FT;1MM A 5MM;US;US;L;0;4933309
105;2021;Data Scientist;MI;FT;5MM A 10MM;US;US;L;0;5808574
106;2021;Data Analyst;MI;FT;1MM A 5MM;GB;GB;L;50;4099341
107;2021;Research Scientist;MI;FT;10MM A 15MM;CA;CA;L;100;14914666
108;2021;Data Engineer;SE;FT;5MM A 10MM;US;US;S;100;9150493
109;2021;Data Engineer;SE;FT;10MM A 15MM;US;US;M;100;11935425
110;2021;Data Engineer;EN;FT;1MM A 5MM;IN;IN;L;100;2421141
111;2021;Machine Learning Engineer;SE;FT;5MM A 10MM;DE;DE;L;50;7524410
112;2021;Director of Data Engineering;SE;FT;5MM A 10MM;GB;GB;M;100;9029229
113;2021;Lead Data Engineer;SE;FT;5MM A 10MM;GB;GB;S;100;8208390
114;2021;AI Scientist;EN;PT;1MM A 5MM;PK;US;M;100;954834
115;2021;Data Engineer;MI;FT;1MM A 5MM;NL;NL;L;100;3611739
116;2021;Machine Learning Scientist;EN;FT;15MM A 20MM;US;US;L;100;17903138
117;2021;Data Scientist;MI;FT;1MM A 5MM;NG;NG;L;100;3978475
118;2021;Data Science Engineer;MI;FT;1MM A 5MM;GR;GR;M;100;3197819
119;2021;Data Analyst;EN;FT;5MM A 10MM;US;US;S;100;7161255
120;2021;Data Engineer;MI;FT;15MM A 20MM;US;US;L;100;15913900
121;2021;Big Data Engineer;MI;FT;1MM A 5MM;ES;RO;M;50;4774170
122;2021;Principal Data Engineer;SE;FT;15MM A 20MM;US;US;M;100;15913900
123;2021;Data Analyst;EN;FT;1MM A 5MM;US;US;M;100;3978475
124;2021;Applied Data Scientist;EN;FT;5MM A 10MM;GB;GB;L;0;8755589
125;2021;Data Analyst;EN;PT;1MM A 5MM;ES;ES;M;50;823863
126;2021;Principal Data Scientist;MI;FT;10MM A 15MM;US;US;L;100;12014995
127;2021;Machine Learning Scientist;SE;FT;5MM A 10MM;US;US;S;50;9548340
128;2021;Data Scientist;MI;FT;1MM A 5MM;IN;IN;S;0;753205
129;2021;Machine Learning Engineer;EN;FT;1MM A 5MM;IN;IN;S;100;1591390
130;2021;Lead Data Scientist;SE;FT;1MM A 5MM;IN;IN;L;50;3228135
131;2021;Machine Learning Developer;EN;FT;5MM A 10MM;IQ;IQ;S;50;7956950
132;2021;Data Scientist;EN;FT;1MM A 5MM;FR;FR;M;50;3950307
133;2021;Applied Machine Learning Scientist;MI;FT;1MM A 5MM;VN;US;M;100;3055469
134;2021;Computer Vision Engineer;SE;FT;1MM A 5MM;BR;BR;M;100;1909668
135;2021;Data Scientist;EN;FT;5MM A 10MM;US;US;S;0;7956950
136;2021;Data Analyst;MI;FT;5MM A 10MM;US;US;M;100;7161255
137;2021;ML Engineer;MI;FT;5MM A 10MM;JP;JP;S;50;5069452
138;2021;ML Engineer;MI;FT;5MM A 10MM;JP;JP;S;50;6155815
139;2021;Principal Data Scientist;SE;FT;15MM A 20MM;US;US;L;0;17505290
140;2021;Data Scientist;EN;FT;5MM A 10MM;US;US;M;100;6365560
141;2021;Data Analyst;MI;FT;10MM A 15MM;US;US;L;100;10741883
142;2021;Data Science Manager;SE;FT;15MM A 20MM;US;US;L;0;19096680
143;2021;Data Engineering Manager;SE;FT;10MM A 15MM;US;US;L;0;11935425
144;2021;Data Scientist;MI;FT;5MM A 10MM;US;US;S;100;6564484
145;2021;Data Engineer;MI;FT;5MM A 10MM;US;US;L;100;7956950
146;2021;Machine Learning Engineer;SE;FT;5MM A 10MM;BE;BE;M;50;6583899
147;2021;Research Scientist;MI;FT;1MM A 5MM;FR;FR;M;50;4984950
148;2021;Data Engineer;MI;FT;5MM A 10MM;US;US;L;100;7161255
149;2021;Data Engineering Manager;SE;FT;10MM A 15MM;US;US;L;100;12174134
150;2021;Cloud Data Engineer;SE;FT;10MM A 15MM;BR;US;S;100;12731120
151;2021;Director of Data Science;SE;FT;10MM A 15MM;JP;JP;S;0;13367676
152;2021;Data Scientist;MI;FT;10MM A 15MM;US;US;M;100;11935425
153;2021;Data Scientist;MI;FT;5MM A 10MM;CA;CA;L;100;6029299
154;2021;Data Scientist;EN;FT;1MM A 5MM;UA;UA;L;100;1066231
155;2021;Data Science Manager;SE;FT;10MM A 15MM;US;US;L;100;11458008
156;2021;Data Science Engineer;SE;FT;10MM A 15MM;CA;CA;L;50;10122911
157;2021;Data Scientist;MI;FT;5MM A 10MM;SG;IL;M;100;9473465
158;2021;Applied Machine Learning Scientist;MI;FT;ACIMA DE 26MM;US;US;L;50;33657899
159;2021;Data Analytics Manager;SE;FT;5MM A 10MM;US;US;M;100;9548340
160;2021;Machine Learning Engineer;EN;FT;5MM A 10MM;US;US;S;100;9946188
161;2021;Head of Data;EX;FT;15MM A 20MM;RU;RU;L;50;18300985
162;2021;Head of Data Science;EX;FT;5MM A 10MM;RU;RU;M;0;6763408
163;2021;Data Engineer;MI;FT;1MM A 5MM;MT;MT;L;50;2257307
164;2021;Data Science Consultant;EN;FT;5MM A 10MM;DE;DE;L;50;5079001
165;2021;Director of Data Science;EX;FT;10MM A 15MM;DE;DE;M;50;10346104
166;2021;Data Specialist;SE;FT;10MM A 15MM;US;US;L;100;13128968
167;2021;Data Engineer;EN;FT;5MM A 10MM;US;US;L;100;6365560
168;2021;Director of Data Science;EX;FT;15MM A 20MM;US;US;L;0;19892375
169;2021;BI Data Analyst;EN;FT;1MM A 5MM;US;US;S;50;4376323
170;2021;Data Architect;MI;FT;10MM A 15MM;US;US;L;100;11935425
171;2021;Data Architect;MI;FT;10MM A 15MM;US;US;L;100;13526815
172;2021;Data Engineer;MI;FT;5MM A 10MM;GB;GB;L;100;6566712
173;2021;Data Analyst;EN;FT;1MM A 5MM;US;US;S;100;4774170
174;2021;Principal Data Scientist;SE;FT;15MM A 20MM;US;US;L;100;18698833
175;2021;Research Scientist;SE;FT;1MM A 5MM;PT;PT;L;50;4834404
176;2021;Data Engineering Manager;SE;FT;10MM A 15MM;US;US;L;100;13845093
177;2021;Data Scientist;MI;FT;1MM A 5MM;MX;MX;S;0;227489
178;2021;Data Scientist;MI;FT;1MM A 5MM;CL;CL;L;100;3185804
179;2021;Machine Learning Engineer;EN;FT;5MM A 10MM;US;US;S;50;6445130
180;2021;Data Scientist;MI;FT;1MM A 5MM;IN;US;S;100;451875
181;2021;Big Data Engineer;MI;FT;1MM A 5MM;IN;IN;L;0;1799146
182;2021;Data Scientist;MI;FT;5MM A 10MM;DE;DE;L;50;7219659
183;2021;Data Engineer;MI;FT;1MM A 5MM;RO;US;L;0;2069205
184;2021;Finance Data Analyst;SE;FT;1MM A 5MM;GB;GB;L;50;4925034
185;2021;Machine Learning Scientist;MI;FL;1MM A 5MM;PK;PK;M;50;954834
186;2021;Data Engineer;MI;FT;1MM A 5MM;IR;IR;M;100;318278
187;2021;Data Analytics Engineer;SE;FT;1MM A 5MM;VN;GB;M;100;3978475
188;2021;Data Science Consultant;EX;FT;5MM A 10MM;FR;ES;S;100;5549256
189;2021;Data Engineer;SE;FT;5MM A 10MM;RO;GB;S;50;6113563
190;2021;Machine Learning Engineer;MI;FT;5MM A 10MM;JP;JP;S;50;5888143
191;2021;Data Science Manager;SE;FT;10MM A 15MM;US;FR;L;100;12094564
192;2021;Machine Learning Engineer;EN;FT;1MM A 5MM;CO;CO;M;50;1738116
193;2021;Big Data Engineer;MI;FT;1MM A 5MM;MD;MD;S;0;1432251
194;2021;Data Science Manager;SE;FT;10MM A 15MM;US;US;L;100;13845093
195;2021;Research Scientist;SE;FT;5MM A 10MM;CA;CA;L;50;7647663
196;2021;Data Scientist;MI;FT;10MM A 15MM;US;US;L;50;11696717
197;2021;BI Data Analyst;EN;FT;1MM A 5MM;KE;KE;S;100;737768
198;2021;Machine Learning Engineer;SE;FT;1MM A 5MM;IN;IN;L;100;1936881
199;2021;Data Science Manager;SE;FT;1MM A 5MM;IN;US;L;50;4304233
200;2021;Data Science Consultant;EN;FT;5MM A 10MM;US;US;S;100;7161255
201;2021;Data Scientist;MI;FT;1MM A 5MM;DE;AT;M;50;4890898
202;2021;Machine Learning Infrastructure Engineer;SE;FT;15MM A 20MM;US;US;M;100;15516053
203;2021;Data Scientist;MI;FT;1MM A 5MM;ES;ES;L;100;3009716
204;2021;Research Scientist;SE;FT;1MM A 5MM;FR;US;S;100;3978475
205;2021;Data Scientist;MI;FT;10MM A 15MM;US;US;L;100;12731120
206;2021;Data Scientist;MI;FT;1MM A 5MM;BR;BR;S;0;1026526
207;2021;Machine Learning Engineer;SE;FT;15MM A 20MM;US;US;L;100;15913900
208;2021;Data Engineer;SE;FT;10MM A 15MM;US;US;M;0;13128968
209;2021;Data Engineer;MI;FL;1MM A 5MM;IT;US;L;0;1591390
210;2021;Data Analytics Manager;SE;FT;5MM A 10MM;US;US;L;0;9548340
211;2021;Machine Learning Engineer;MI;FT;1MM A 5MM;SI;SI;L;50;1975154
212;2021;Research Scientist;MI;FT;1MM A 5MM;FR;FR;S;50;4514614
213;2021;Data Engineer;MI;FT;5MM A 10MM;HK;GB;S;50;5253338
214;2021;Big Data Engineer;EN;FT;1MM A 5MM;IN;CH;L;0;468028
215;2021;Machine Learning Engineer;EN;FT;1MM A 5MM;DE;DE;M;50;1975154
216;2021;Principal Data Engineer;SE;FT;10MM A 15MM;US;US;L;100;14720358
217;2021;Computer Vision Engineer;EN;PT;1MM A 5MM;DK;DK;S;50;2276404
218;2021;Data Scientist;MI;FT;5MM A 10MM;DE;DE;L;50;7219659
219;2021;Machine Learning Engineer;MI;FT;5MM A 10MM;BE;BE;M;100;7054154
220;2021;Data Analytics Manager;SE;FT;10MM A 15MM;US;US;L;100;11139730
221;2021;Machine Learning Engineer;MI;FT;1MM A 5MM;PL;PL;L;100;3707700
222;2021;Data Scientist;MI;FT;5MM A 10MM;GB;GB;L;50;9302789
223;2021;Data Scientist;MI;FT;1MM A 5MM;IN;IN;M;0;2690086
224;2021;Data Scientist;MI;FT;1MM A 5MM;GB;GB;L;50;4476262
225;2021;Machine Learning Scientist;SE;FT;15MM A 20MM;US;CA;L;100;17903138
226;2021;Principal Data Scientist;EX;CT;ACIMA DE 26MM;US;US;S;100;33100912
227;2021;Data Scientist;SE;FT;5MM A 10MM;CA;CA;S;100;6981269
228;2021;Data Scientist;MI;FT;5MM A 10MM;DE;DE;L;50;7054154
229;2021;Data Scientist;SE;FT;10MM A 15MM;US;US;L;0;10741883
230;2021;Data Analyst;SE;FT;5MM A 10MM;CA;CA;M;100;5711976
